Address,Building Name,Zip Code,Sub-Market,Bed,Bath,Avg SF,# Units,Mix %,Units Available - Units,Units Available - Percent,Avg Asking Rent/Unit,Avg Asking Rent/SF,Avg Effective Rent/Unit,Avg Effective Rent/SF,Concessions - %,Year Built,Year Renovated,Units,Land (Acres),Vacancy %,Washer/Dryer,Walk in Closet,Hardwood/Vinyl Floor,Balcony,Walk Score,Transit Score,1-Mile Population,1-Mile Median Household Income,Miles from Domain,Miles fom Downtown,,
12300 Hymeadow Dr,Chesapeake,78750,Anderson Mill MF,2,2,840,28,0.226,2,0.071,966,1.15,925,1.1,0.043,1984,,124,4.03,4,no,1,0,0,49,25,13370,68880,8.11,17.32,,
10507 Mellow Mdws,The Meadows,78750,Anderson Mill MF,1,1,533,8,0.08,1,0.125,875,1.64,869,1.63,0.007,1984,,100,3.88,6,no,1,0,1,49,26,11563,65761,7.93,17.15,,
10507 Mellow Mdws,The Meadows,78750,Anderson Mill MF,1,1,641,20,0.2,2,0.1,930,1.45,923,1.44,0.007,1984,,100,3.88,6,no,1,0,1,49,26,11563,65761,7.93,17.15,,
10507 Mellow Mdws,The Meadows,78750,Anderson Mill MF,1,1,755,20,0.2,1,0.05,1035,1.37,1028,1.36,0.007,1984,,100,3.88,6,no,1,0,1,49,26,11563,65761,7.93,17.15,,
10507 Mellow Mdws,The Meadows,78750,Anderson Mill MF,2,2,942,52,0.52,3,0.058,1145,1.22,1137,1.21,0.007,1984,,100,3.88,6,no,1,0,1,49,26,11563,65761,7.93,17.15,,
9218 Balcones Club Dr,Balcones Club,78750,Bull Creek MF,1,1,464,32,0.103,0,0,764,1.65,746,1.61,0.0024,1983,,312,13,7.1,no,1,0,1,43,23,13229,67865,7.17,16.39,,
9218 Balcones Club Dr,Balcones Club,78750,Bull Creek MF,1,1,562,40,0.128,0,0,901,1.6,879,1.56,0.0024,1983,,312,13,7.1,no,1,0,1,43,23,13229,67865,7.17,16.39,,
9218 Balcones Club Dr,Balcones Club,78750,Bull Creek MF,1,1,735,88,0.282,2,0.023,975,1.33,952,1.29,0.0024,1983,,312,13,7.1,no,1,0,1,43,23,13229,67865,7.17,16.39,,
9218 Balcones Club Dr,Balcones Club,78750,Bull Creek MF,1,1,904,32,0.103,1,0.031,1011,1.12,987,1.09,0.0024,1983,,312,13,7.1,no,1,0,1,43,23,13229,67865,7.17,16.39,,
9218 Balcones Club Dr,Balcones Club,78750,Bull Creek MF,1,1,1063,32,0.103,6,0.188,1156,1.09,1128,1.06,0.0024,1983,,312,13,7.1,no,1,0,1,43,23,13229,67865,7.17,16.39,,
9218 Balcones Club Dr,Balcones Club,78750,Bull Creek MF,2,1.5,984,29,0.093,5,0.172,1223,1.24,1171,1.19,0.0043,1983,,312,13,7.1,no,1,0,1,43,23,13229,67865,7.17,16.39,,
9218 Balcones Club Dr,Balcones Club,78750,Bull Creek MF,2,2,978,30,0.096,6,0.2,1160,1.19,1111,1.14,0.0043,1983,,312,13,7.1,no,1,0,1,43,23,13229,67865,7.17,16.39,,
9219 Balcones Club Dr,Balcones Club,78750,Bull Creek MF,2,2.5,1150,29,0.093,6,0.207,1406,1.22,1346,1.17,0.0043,1983,,312,13,7.1,no,1,0,1,43,23,13229,67865,7.17,16.39,,
6500 Champion Grandview Way,Gables Grandview,78750,Jester Point MF,1,1,655,32,0.07,4,0.125,1145,1.75,1145,1.75,0,2003,,458,87.7,7,no,0,0,1,17,0,6625,122930,6.05,14.22,,
6500 Champion Grandview Way,Gables Grandview,78750,Jester Point MF,1,1,708,32,0.07,4,0.063,990,1.4,990,1.4,0,2003,,458,87.7,7,no,0,0,1,17,0,6625,122930,6.05,14.22,,
6500 Champion Grandview Way,Gables Grandview,78750,Jester Point MF,1,1,754,10,0.022,7,0.7,1200,1.59,1200,1.59,0,2003,,458,87.7,7,no,0,0,1,17,0,6625,122930,6.05,14.22,,
6500 Champion Grandview Way,Gables Grandview,78750,Jester Point MF,1,1,830,28,0.061,2,0.071,1175,1.42,1175,1.42,0,2003,,458,87.7,7,no,0,0,1,17,0,6625,122930,6.05,14.22,,
6500 Champion Grandview Way,Gables Grandview,78750,Jester Point MF,1,1,870,66,0.144,8,0.121,1280,1.47,1280,1.47,0,2003,,458,87.7,7,no,0,0,1,17,0,6625,122930,6.05,14.22,,
6500 Champion Grandview Way,Gables Grandview,78750,Jester Point MF,1,1,985,20,0.044,0,0,1195,1.21,1195,1.21,0,2003,,458,87.7,7,no,0,0,1,17,0,6625,122930,6.05,14.22,,
6500 Champion Grandview Way,Gables Grandview,78750,Jester Point MF,1,1,992,26,0.057,2,0.077,1515,1.53,1515,1.53,0,2003,,458,87.7,7,no,0,0,1,17,0,6625,122930,6.05,14.22,,
6500 Champion Grandview Way,Gables Grandview,78750,Jester Point MF,2,1,950,48,0.105,10,0.208,1270,1.34,1270,1.34,0,2003,,458,87.7,7,no,0,0,1,17,0,6625,122930,6.05,14.22,,
6500 Champion Grandview Way,Gables Grandview,78750,Jester Point MF,2,1,1022,4,0.09,0,0,1337,1.31,1337,1.31,0,2003,,458,87.7,7,no,0,0,1,17,0,6625,122930,6.05,14.22,,
6500 Champion Grandview Way,Gables Grandview,78750,Jester Point MF,2,2,1089,10,0.022,2,0.2,1485,1.36,1485,1.36,0,2003,,458,87.7,7,no,0,0,1,17,0,6625,122930,6.05,14.22,,
6500 Champion Grandview Way,Gables Grandview,78750,Jester Point MF,2,2,1101,30,0.066,2,0.067,1560,1.42,1560,1.42,0,2003,,458,87.7,7,no,0,0,1,17,0,6625,122930,6.05,14.22,,
6500 Champion Grandview Way,Gables Grandview,78750,Jester Point MF,2,2,1241,14,0.031,4,0.286,1536,1.24,1536,1.24,0,2003,,458,87.7,7,no,0,0,1,17,0,6625,122930,6.05,14.22,,
6500 Champion Grandview Way,Gables Grandview,78750,Jester Point MF,2,2,1353,5,0.011,0,0,1596,1.18,1596,1.18,0,2003,,458,87.7,7,no,0,0,1,17,0,6625,122930,6.05,14.22,,
6500 Champion Grandview Way,Gables Grandview,78750,Jester Point MF,2,2,1371,22,0.048,2,0.091,1730,1.26,1730,1.26,0,2003,,458,87.7,7,no,0,0,1,17,0,6625,122930,6.05,14.22,,
6500 Champion Grandview Way,Gables Grandview,78750,Jester Point MF,2,2,1390,24,0.057,6,0.25,1529,1.1,1529,1.1,0,2003,,458,87.7,7,no,0,0,1,17,0,6625,122930,6.05,14.22,,
6500 Champion Grandview Way,Gables Grandview,78750,Jester Point MF,2,2,1486,22,0.048,0,0,1850,1.25,1850,1.25,0,2003,,458,87.7,7,no,0,0,1,17,0,6625,122930,6.05,14.22,,
6500 Champion Grandview Way,Gables Grandview,78750,Jester Point MF,2,2,1488,21,0.046,2,0.095,1488,1,1488,1,0,2003,,458,87.7,7,no,0,0,1,17,0,6625,122930,6.05,14.22,,
6500 Champion Grandview Way,Gables Grandview,78750,Jester Point MF,3,2,1486,44,0.096,2,0.046,1815,1.22,1815,1.22,0,2003,,458,87.7,7,no,0,0,1,17,0,6625,122930,6.05,14.22,,
8312 Fathom Cir,Laurel Woods,78750,Bull Creek MF,1,1,659,14,0.093,1,0.071,942,1.43,942,1.43,0,1984,,150,7.51,4,Yes but not in unit,1,1,1,42,24,15041,66208,7.96,17.18,,
8312 Fathom Cir,Laurel Woods,78750,Bull Creek MF,1,1,677,16,0.107,1,0.063,973,1.44,973,1.44,0,1984,,150,7.51,4,Yes but not in unit,1,1,1,42,24,15041,66208,7.96,17.18,,
8312 Fathom Cir,Laurel Woods,78750,Bull Creek MF,1,1,720,16,0.107,2,0.125,1019,1.42,1019,1.42,0.007,1984,,150,7.51,4,Yes but not in unit,1,1,1,42,24,15041,66208,7.96,17.18,,
8312 Fathom Cir,Laurel Woods,78750,Bull Creek MF,2,1,812,16,0.107,0,0,1089,1.34,1089,1.34,0.007,1984,,150,7.51,4,Yes but not in unit,1,1,1,42,24,15041,66208,7.96,17.18,,
8312 Fathom Cir,Laurel Woods,78750,Bull Creek MF,2,2,901,16,0.107,2,0.0125,1191,1.32,1191,1.32,0.007,1984,,150,7.51,4,Yes but not in unit,1,1,1,42,24,15041,66208,7.96,17.18,,
8312 Fathom Cir,Laurel Woods,78750,Bull Creek MF,2,2,910,48,0.32,5,0.104,1216,1.34,1216,1.34,0.007,1984,,150,7.51,4,Yes but not in unit,1,1,1,42,24,15041,66208,7.96,17.18,,
8312 Fathom Cir,Laurel Woods,78750,Bull Creek MF,2,2,980,24,0.16,2,0.083,1272,1.3,1272,1.3,0.007,1984,,150,7.51,4,Yes but not in unit,1,1,1,42,24,15041,66208,7.96,17.18,,
13145 N Highway 183,Elan Apartment Homes ,78750,Hunter's Chase MF,1,1,630,48,0.178,2,0.042,935,1.48,922,1.46,0.014,2007,,270,12.18,5.9,Yes but not in unit,1,1,0,51,25,14013,62183,5.79,15.01,,
13145 N Highway 183,Elan Apartment Homes ,78750,Hunter's Chase MF,1,1,709,90,0.333,8,0.089,970,1.37,922,1.46,0.014,2007,,270,12.18,5.9,Yes but not in unit,1,1,0,51,25,14013,62183,5.79,15.01,,
13145 N Highway 183,Elan Apartment Homes ,78750,Hunter's Chase MF,1,1,800,24,0.089,2,0.083,1025,1.28,1010,1.26,0.014,2007,,270,12.18,5.9,Yes but not in unit,1,1,0,51,25,14013,62183,5.79,15.01,,
13145 N Highway 183,Elan Apartment Homes ,78750,Hunter's Chase MF,2,2,956,24,0.089,2,0.083,1275,1.33,1233,1.29,0.0033,2007,,270,12.18,5.9,Yes but not in unit,1,1,0,51,25,14013,62183,5.79,15.01,,
13145 N Highway 183,Elan Apartment Homes ,78750,Hunter's Chase MF,2,2,1040,48,0.178,4,0.083,1260,1.21,1219,1.17,0.0033,2007,,270,12.18,5.9,Yes but not in unit,1,1,0,51,25,14013,62183,5.79,15.01,,
13145 N Highway 183,Elan Apartment Homes ,78750,Hunter's Chase MF,2,2,1141,36,0.133,2,0.056,1400,1.23,1354,1.19,0.0033,2007,,270,12.18,5.9,Yes but not in unit,1,1,0,51,25,14013,62183,5.79,15.01,,
10707 Lake Creek Pky,Lake Creek Apartments,78750,Anderson Mill MF,1,1,630,54,0.154,10,0.185,910,1.44,882,1.4,0.0031,1984,,350,17.44,6,Yes in unit,0,0,0,39,25,13070,76150,8.45,17.67,,
10707 Lake Creek Pky,Lake Creek Apartments,78750,Anderson Mill MF,1,1.5,615,86,0.246,10,0.116,920,1.5,892,1.45,0.0031,1984,,350,17.44,6,Yes in unit,0,0,0,39,25,13070,76150,8.45,17.67,,
10707 Lake Creek Pky,Lake Creek Apartments,78750,Anderson Mill MF,2,1.5,825,58,0.166,10,0.172,1165,1.41,1084,1.31,0.007,1984,,350,17.44,6,Yes in unit,0,0,0,39,25,13070,76150,8.45,17.67,,
10707 Lake Creek Pky,Lake Creek Apartments,78750,Anderson Mill MF,2,2,850,118,0.337,10,0.085,1105,1.3,1028,1.21,0.007,1984,,350,17.44,6,Yes in unit,0,0,0,39,25,13070,76150,8.45,17.67,,
10707 Lake Creek Pky,Lake Creek Apartments,78750,Anderson Mill MF,3,2.5,1064,34,0.097,0,0,1640,1.54,1640,1.54,0,1984,,350,17.44,6,Yes in unit,0,0,0,39,25,13070,76150,8.45,17.67,,
9415 McNeil Dr,Promesa,78750,Ribelin Ranch MF,1,1,673,64,0.221,4,0.063,975,1.45,925,1.37,0.0052,2012,,289,17.53,6.2,Yes in unit,1,0,0,12,8,3393,125198,9.8,13.41,,
9415 McNeil Dr,Promesa,78750,Ribelin Ranch MF,1,1,733,68,0.235,9,0.132,1065,1.45,1010,1.38,0.005,2012,,289,17.53,6.2,Yes in unit,1,0,0,12,8,3393,125198,9.8,13.41,,
9415 McNeil Dr,Promesa,78750,Ribelin Ranch MF,1,1,839,32,0.111,5,0.156,1195,1.42,1133,1.35,0.005,2012,,289,17.53,6.2,Yes in unit,1,0,0,12,8,3393,125198,9.8,13.41,,
9415 McNeil Dr,Promesa,78750,Ribelin Ranch MF,2,2,1128,50,0.173,4,0.08,1450,1.29,1336,1.18,0.007,2012,,289,17.53,6.2,Yes in unit,1,0,0,12,8,3393,125198,9.8,13.41,,
9415 McNeil Dr,Promesa,78750,Ribelin Ranch MF,2,2,1239,47,0.163,3,0.064,1499,1.21,1381,1.11,0.007,2012,,289,17.53,6.2,Yes in unit,1,0,0,12,8,3393,125198,9.8,13.41,,
9415 McNeil Dr,Promesa,78750,Ribelin Ranch MF,3,2,1554,28,0.097,3,0.107,1699,1.09,1658,1.07,0.002,2012,,289,17.53,6.2,Yes in unit,1,0,0,12,8,3393,125198,9.8,13.41,,
9900 McNeil Dr,Hyde Park at Ribelin Ranch,78750,Ribelin Ranch MF,1,1,747,80,0.229,8,0.1,905,1.21,905,1.21,0,2008,,350,17.53,3.1,Yes but not in unit,1,0,0,14,9,3611,117809,9.82,13.43,,
9900 McNeil Dr,Hyde Park at Ribelin Ranch,78750,Ribelin Ranch MF,1,1,779,68,0.194,2,0.029,943,1.21,943,1.21,0,2008,,350,17.53,3.1,Yes but not in unit,1,0,0,14,9,3611,117809,9.82,13.43,,
9900 McNeil Dr,Hyde Park at Ribelin Ranch,78750,Ribelin Ranch MF,1,1,851,40,0.114,4,0.1,955,1.12,955,1.12,0,2008,,350,17.53,3.1,Yes but not in unit,1,0,0,14,9,3611,117809,9.82,13.43,,
9900 McNeil Dr,Hyde Park at Ribelin Ranch,78750,Ribelin Ranch MF,2,2,1098,52,0.148,2,0.039,1270,1.16,1270,1.16,0,2008,,350,17.53,3.1,Yes but not in unit,1,0,0,14,9,3611,117809,9.82,13.43,,
9900 McNeil Dr,Hyde Park at Ribelin Ranch,78750,Ribelin Ranch MF,2,2,1144,42,0.12,4,0.095,1265,1.11,1265,1.11,0,2008,,350,17.53,3.1,Yes but not in unit,1,0,0,14,9,3611,117809,9.82,13.43,,
9900 McNeil Dr,Hyde Park at Ribelin Ranch,78750,Ribelin Ranch MF,2,2,1189,36,0.103,1,0.028,1290,1.08,1290,1.08,0,2008,,350,17.53,3.1,Yes but not in unit,1,0,0,14,9,3611,117809,9.82,13.43,,
9900 McNeil Dr,Hyde Park at Ribelin Ranch,78750,Ribelin Ranch MF,3,2,1501,32,0.091,2,0.063,2005,1.34,2005,1.34,0,2008,,350,17.53,3.1,Yes but not in unit,1,0,0,14,9,3611,117809,9.82,13.43,,
12425 Mellow Meadow Dr ,The Lantern,78750,Anderson Mill MF,1,1,613,27,0.081,2,0.074,948,1.55,877,1.45,0.006,1983,,334,13.58,9.3,no,0,0,0,60,25,10692,66770,7.95,17.17,,
12425 Mellow Meadow Dr ,The Lantern,78750,Anderson Mill MF,1,1,630,8,0.024,0,0,989,1.57,925,1.47,0.006,1983,,334,13.58,9.3,no,0,0,0,60,25,10692,66770,7.95,17.17,,
